% Model:              FINAL.mph
% Version:            COMSOL 5.3.0.316
% Date:               Dec 9 2017, 12:46
% Dimension:          1
% Nodes:              610
% Expressions:        1
% Description:        Line graph
% cln6x                   Height
0                         0
0.016889578630481485      1.3013934872845224E-4
0.024872545037944567      1.916973429037642E-4
0.04799775550383259       3.7026256781694987E-4
0.05101353683708146       3.9356598461895236E-4
0.05211261209144339       4.0205966149370044E-4
0.05468095331489389       4.219098344356809E-4
0.055972384947084126      4.3189208631036447E-4
0.05760265811901556       4.4449444825678616E-4
0.0592467323421425        4.5720462547901776E-4
0.06836352420550708       5.27706249277491E-4
0.10447844846506431       8.073317426192305E-4
0.11316222129165816       8.746488951331837E-4
0.12052246454707563       9.317307550783823E-4
0.12578838740504888       9.725842161711775E-4
0.1425010904492392        0.001102341262678454
0.1572499122807019        0.0012168960342087017
0.17869212494813025       0.0013840548258255722
0.188998471244687         0.0014646031363226935
0.2038868941104665        0.0015807175922570446
0.20946228071385278       0.0016242667476622482
0.21751332984280705       0.0016872174967324303
0.24419640918622468       0.0018963941780581113
0.25475145461893          0.0019793686419750734
0.2673239177254565        0.002078372628444326
0.2850417822209217        0.0022182093906816416
0.29939434712776086       0.002331755494804439
0.3052760944135115        0.0023783569420704315
0.32518555473706046       0.002536401681646504
0.3471654022346824        0.002711192364782014
0.36881455494827436       0.002884587694245446
0.3823565250522837        0.0029933525123330023
0.38922423159565506       0.0030486500492792673
0.3933858751388397        0.003082204139860032
0.3989275288987184        0.003126937893757142
0.41058888489381906       0.0032211675978646393
0.4117925833276057        0.003230907852866646
0.4206040759606858        0.0033022883207251656
0.43531110198520373       0.0034217348379361415
0.4436370841951418        0.003489526604437242
0.4719563525692904        0.003721029566420969
0.47321278011453466       0.0037313340433159634
0.47455120327968975       0.0037423140570162026
0.4749538012213996        0.0037456174642185166
0.47536145686610526       0.0037489626617713814
0.4764793656961088        0.003758137655213724
0.47853971871051576       0.003775047817342591
0.47939419687986407       0.0037820640159478836
0.4802913316434839        0.003789432456574412
0.48191427897969896       0.0038027673824402226
0.4881340695241907        0.0038539338235704097
0.5276184530391674        0.004181040700982941
0.5391052197855942        0.004276944345088928
0.5521355466657041        0.0043861400968102805
0.5614183867346634        0.004464076879793991
0.5775749553646803        0.004600530893660892
0.5813751685176259        0.004632720400866854
0.6103316799438964        0.004879169833675938
0.6291204111796972        0.005040192182894396
0.6341296996190878        0.0050832702159509914
0.6357114950858614        0.005096892295091921
0.6470451604345113        0.0051944738366257615
0.6472728088314655        0.005196438345192403
0.6477332049871403        0.005200411907128176
0.6527011648461015        0.005243335031145778
0.6767222544944854        0.005452072497349548
0.688504059922182         0.005555167796142427
0.7144100714034302        0.005783508493809719
0.7216443676321331        0.005847678962227081
0.7337589030226549        0.005955535581012563
0.742948460541326         0.006037682400433228
0.7704055498038305        0.006284829175136508
0.7813061462255743        0.006383655621589046
0.7891389698723876        0.006455208187095055
0.791700692636701         0.006478664333930338
0.7942946355910203        0.006502398299619796
0.8317677726731578        0.006847785711356121
0.8359876114554957        0.006887027373901745
0.8374052434476015        0.0069002248820440835
0.850999083161556         0.007027147173235032
0.8563338518972758        0.007077139589421718
0.8594430406532719        0.007106323552405669
0.8787910450037011        0.007288718344956162
0.8945882587523138        0.007438645834567919
0.9029333026999227        0.007518211735896239
0.9149823648872439        0.007633538983813261
0.9215944785519063        0.007697050263156342
0.9275765611378828        0.007754937869788044
0.9348966324196128        0.007825960301409444
0.9403033335980345        0.007878550787949311
0.9513312213749218        0.007986166722924053
0.9743505645087369        0.008212064995319915
0.9799604562457708        0.008267574690960745
0.9913698547647426        0.008381087690018054
0.9983596977891072        0.008450980508716106
1.0474635797740475        0.008949482851514107
1.0578446343688133        0.009056553354619638
1.0661592052798818        0.009142733513927399
1.070108054293057         0.009183795070914255
1.0965285210939215        0.009460600515985976
1.1279776540637252        0.009794797223691315
1.1302431489715987        0.009819069199597092
1.1313215404026815        0.009830632154919224
1.1614153460549594        0.010155736123557848
1.1822775982271159        0.010383860438128556
1.1839795639952553        0.010402570382770282
1.195584592528619         0.010530832493987298
1.197671479667431         0.01055403668435471
1.2037148462861609        0.010621403011447404
1.2341456768482852        0.010964457394863574
1.2574048739537989        0.011230981462975617
1.2781211849190552        0.01147119143909728
1.2791069235445716        0.011482688932439027
1.296019250735391         0.011680908721312066
1.3070680493380435        0.01181138233150671
1.308077176047037         0.011823337435142526
1.3717074615648441        0.012590170236320777
1.3725902219629418        0.012600988802485584
1.372833321620743         0.012603972629966891
1.4040944847965418        0.012992603630536016
1.4048109751618159        0.013001625519322295
1.4240202192286064        0.013245033511062739
1.4393555675087835        0.013441492562170686
1.4450218553234253        0.013514563037043662
1.4478754599181536        0.013551460283220063
1.4573182246211844        0.013674024460086413
1.4610883054101937        0.013723160055982954
1.464540318624267         0.013768250917258196
1.4697946556785004        0.013837068767221704
1.4909399446744913        0.014116269546576053
1.492320539323519         0.01413462436714502
1.4982051686972548        0.014213032329319857
1.5156271748622978        0.014446084809964052
1.5543699816299716        0.01497571119109171
1.5549830284915684        0.014984222923688055
1.5552558037305177        0.014988011533480533
1.5750846219999755        0.015264441504006004
1.5942214154196952        0.015534052411011856
1.59539134073676          0.015550625148793734
1.5956268146906663        0.015553962042659067
1.5959386656860168        0.015558383493029179
1.6088062885172534        0.01574151805958902
1.6127351715951734        0.015797705653142775
1.6200285722054013        0.015902345811762676
1.634064773283785         0.016104955761035007
1.644798790091634         0.01626235210831004
1.656000152795289         0.01642737375599617
1.687961541971509         0.016902394667637786
